station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
,,D/S OF KAPILDHARA,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
3321,"NARMADA AT
AMARKANTAKE FROM
ORIGIN POINT, REWA",,,"MADHYA
PRADESH",,,20.0,,,29.0,,,7.2,,,8.2,,,7.7,,,8.1,,,232,
1235,,NARMADA AT,,"MADHYA
PRADESH",,,19.0,,,30.0,,,2.4,,,8.7,,,7.6,,,8.5,,,209,
,,HOSHANGABAD D S,,,,,,,,,,,,,,,,,,,,,,,,
,,M.P.,,,,,,,,,,,,,,,,,,,,,,,,
1239,,NARMADA AT,,,MADHYA,,21.0,,,30.0,,,5.9,,,8.4,,,7.9,,,8.9,,,175,
,,"BADWANI, M.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1242,,NARMADA NEAR,,"MADHYA
PRADESH",,,20.0,,,29.0,,,6.4,,,7.4,,,6.9,,,8.0,,,179,
,,SOURCE AT,,,,,,,,,,,,,,,,,,,,,,,,
,,AMARKANTAK M.P.,,,,,,,,,,,,,,,,,,,,,,,,
3847,,NARMADA RIVER AT,,,MADHYA,,20.0,,,30.0,,,6.5,,,8.0,,,7.8,,,8.9,,,277,
,,DHARAMPURI,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
7,"NARMADA AT
GARUDESHWAR,
GUJARAT",,,GUJARAT,,,27.0,,,30.0,,,6.1,,,7.1,,,7.1,,,8.1,,,320,
1243,"NARMADA AT
BHARUCH,
ZADESHVAR, GUJARAT",,,GUJARAT,,,26.0,,,29.0,,,6.2,,,7.2,,,7.8,,,8.1,,,543,
1244,"NARMADA AT
PANETHA, GUJARAT",,,GUJARAT,,,28.0,,,32.0,,,6.3,,,7.4,,,7.0,,,8.1,,,5,
1245,"NARMADA AT
CHANDOD, GUJARAT",,,GUJARAT,,,0.0,,,29.0,,,7.1,,,8.7,,,7.7,,,8.5,,,365,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
2100,,GOUR RIVER,,"MADHYA
PRADESH",,,16.0,35.0,6.8,7.8,7.1,8.7,211,374,1.0,,1.9,,0.1,6.5,2,,12,,21,70
,,"BHOGA DOOR,",,,,,,,,,,,,,,,,,,,,,,,,
,,JABALPUR,,,,,,,,,,,,,,,,,,,,,,,,
2101,,KATNI RIVER NEAR,,,MADHYA,,25.0,31.0,5.4,6.7,7.3,8.3,162,478,1.0,,2.2,,0.3,1.8,2,,63,,27,220
,,NAGAR NIGAM,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
3305,"RIVER BANJAR AT
MALANJKHAND
NEAR W/S INTAKE
POINT,",,,"MADHYA
PRADESH",,,20.0,29.0,6.1,8.1,7.2,8.3,178,432,0.6,,2.7,,0.3,4.2,2,,12,,20,70
3828,"RIVER HIRAN, NH 7
ROAD BRIDGE,
SIHORA, DIST
JABALP",,,"MADHYA
PRADESH",,,18.0,24.0,6.9,10.8,7.3,8.7,171,468,1.2,,2.3,,0.2,1.3,2,,40,,31,210
3829,,"RIVER HIRAN, NH -",,"MADHYA
PRADESH",,,19.0,26.0,6.8,7.7,7.3,8.6,287,511,1.5,,2.0,,0.3,4.3,2,,17,,31,140
,,12 ROAD BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
,,VIL VIKRAMPUR,,,,,,,,,,,,,,,,,,,,,,,,
,,",DIS",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,,"Total Coliform
(MPN/ 100 mL)"
,,,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,Min,Max,Max,,Min
9,,TAPI AT NEPANAGAR,,,MADHYA,,23.0,30.0,6.2,7.6,7.6,8.7,262,601,1.0,,2.6,,0.67,2.13,1,,2,,,36
,,M.P.,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
10,,TAPI AT BURHANPUR,,,MADHYA,,23.0,30.0,5.0,8.0,7.8,8.9,264,1678,1.4,,6.0,,0.69,12.31,2,,2,,,63
,,M.P.,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1250,"TAPI AT HATHNUR
M.P.",,,"MADHYA
PRADESH",,,23.0,30.0,4.0,7.5,7.9,8.9,362,1766,1.2,,24.0,,0.76,14.30,2,,2,,,49
2115,,RIVER TAPTI AT,,"MADHYA
PRADESH",,,23.0,30.0,6.8,7.6,7.6,8.8,279,673,1.2,,2.4,,0.62,3.22,2,,210,,,21
,,NEPA NAGAR 100,,,,,,,,,,,,,,,,,,,,,,,,
,,METRE D/S AFTER,,,,,,,,,,,,,,,,,,,,,,,,
,,MIXI,,,,,,,,,,,,,,,,,,,,,,,,
1251,,"TAPI RIVER AT U/S,",,MAHARASHTRA,,,24.0,34.0,4.8,7.1,7.6,8.9,263,1842,3.0,,14.0,,0.30,3.36,2,,2,,,140
,,"BHUSAWAL,VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,BHUSAWAL,,,,,,,,,,,,,,,,,,,,,,,,
,,"RAILWAY COLONY,",,,,,,,,,,,,,,,,,,,,,,,,
,,TALUKA-,,,,,,,,,,,,,,,,,,,,,,,,
,,"BHUSAWAL,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- JALGAON.,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1314,"TAPI RIVER AT UBAD
VILLAGE NEAR
GUJRATBORDER,
VILLAGE- UBAD,
TALUKA- SHAHADA,
DISTRICT-
NANDURBAR.",,,MAHARASHTRA,24.0,,,40.0,,,5.8,,,7.1,,,7.6,,,8.5,,,383,,,679
1247,,"TAPI AT MANDAVI,",,GUJARAT,26.0,,,32.0,,,7.1,,,7.6,,,7.5,,,8.2,,,329,,,555
,,GUJARAT,,,,,,,,,,,,,,,,,,,,,,,,
1248,,TAPI AT SURAT U/S,,GUJARAT,26.0,,,34.0,,,6.8,,,8.0,,,6.9,,,8.3,,,440,,,938
,,"KATHORE, GUJARAT",,,,,,,,,,,,,,,,,,,,,,,,
1982,,TAPI AT RANDER,,GUJARAT,25.0,,,34.0,,,6.7,,,7.5,,,7.0,,,8.3,,,434,,,968
,,"BRIDGE, SURAT",,,,,,,,,,,,,,,,,,,,,,,,
1983,,RIVER TAPI NEAR,,GUJARAT,27.0,,,32.0,,,6.9,,,7.6,,,7.3,,,8.3,,,336,,,462
,,BARDOLI (KAPP,,,,,,,,,,,,,,,,,,,,,,,,
,,BRIDGE) BARDOLI,,,,,,,,,,,,,,,,,,,,,,,,
2071,,RIVER TAPI AT ONGC,,GUJARAT,26.0,,,34.0,,,6.0,,,6.6,,,7.1,,,7.9,,,2125,,,52048
,,"BRIDGE AT SURAT,",,,,,,,,,,,,,,,,,,,,,,,,
,,DIST. SURAT,,,,,,,,,,,,,,,,,,,,,,,,
46,,"TAPI AT UKAI,",,GUJARAT,22.0,,,30.0,,,6.6,,,7.5,,,7.3,,,8.5,,,331,,,553
,,"SHERULA BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,GUJARAT,,,,,,,,,,,,,,,,,,,,,,,,
47,,"TAPI AT KATHORE,",,GUJARAT,26.0,,,34.0,,,6.9,,,7.4,,,7.1,,,8.5,,,418,,,685
,,"(NH-8 BRIDGE),",,,,,,,,,,,,,,,,,,,,,,,,
,,GUJARAT,,,,,,,,,,,,,,,,,,,,,,,,
2070,,RIVER KIM AT SAHOL,,GUJARAT,28.0,,,34.0,,,5.1,,,6.8,,,7.2,,,8.4,,,590,,,2668
,,"BRIDGE, OLPAD",,,,,,,,,,,,,,,,,,,,,,,,
,,"HANSOT ROAD, DIST",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,,,
,,,,,,,,,,,,,,,,,,,,mL,,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
1252,,GIRNA RIVER AT,,MAHARASHTRA,24.0,27.0,3.0,5.9,7.6,7.9,391,590,4.0,,6.0,,0.30,6.12,2,,4,,140,220,,
,,JALGAON AT INTAKE,,,,,,,,,,,,,,,,,,,,,,,,
,,OF GIRNA PUMP,,,,,,,,,,,,,,,,,,,,,,,,
,,"HUOSE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,GIRNA PUMP HOUSE,,,,,,,,,,,,,,,,,,,,,,,,
,,"AREA, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"JALGAON, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,JALGAON.,,,,,,,,,,,,,,,,,,,,,,,,
1253,"GIRNA RIVER AT
MALEGAON ROAD
BRIDGE, VILLAGE-
MALEGAON, TALUKA-
MALEGAON,
DISTRICT- NASHIK.",,,MAHARASHTRA,20.0,23.0,5.7,5.8,7.8,7.9,528,556,6.0,,7.0,,0.30,3.55,2,,4,,170,220,,
1907,"RANGAVALI RIVER AT
D/S OF NAVAPUR
NEAR RANGAVALI
BRIDGE, VILLAGE-
NAVAPUR, TALUKA-
NAVAPUR, DISTRICT-
NANDURBAR.",,,MAHARASHTRA,32.0,38.0,3.1,6.4,6.9,8.4,521,59860,4.0,,18.0,,0.30,5.46,2,,70,,220,540,,
2127,"DENWA NEAR SARNI,
ROAD BRIDGE",,,"MADHYA
PRADESH",18.0,28.0,6.5,8.7,7.7,8.2,236,694,1.2,,2.4,,0.30,3.45,2,,2,,120,1600,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,,,
,,,,,,,,,,,,,,,,,,,,mL,,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
2155,"PURNA RIVER AT D/S
OF CONFLUENCE OF
MORNA AND PURNA,
AT ANDURA VILLAGE,
VILLAGE- ANDURA,
TALUKA- BALAPUR,
DISTRICT- AKOLA.",,,MAHARASHTRA,22.0,30.0,4.1,6.2,7.0,8.3,589,29500,5.2,,12.0,,0.30,18.04,17,,90,,280,500,,
3203,"AMRAVATI AT
VILLAGE DADHAL , TA
ANKLESHWAR,
BHARUCH",,,GUJARAT,28.0,35.0,4.3,7.0,7.6,8.4,263,2580,0.9,,1.8,,0.15,0.46,21,,79,,110,280,,
2658,"BORI RIVER, D/S OF
AMALNER, VILLAGE-
AMALNER, TALUKA-
JALGAON, DISTRICT-
JALGAON.",,,MAHARASHTRA,25.0,28.0,2.4,6.2,6.6,8.1,771,896,4.0,,6.1,,0.20,3.06,2,,94,,220,280,,
2666,"GOMAI RIVER D/S. OF
SHAHADA, VILLAGE-
SHAHADA,TALUKA-
DHULE,DISTRICT-
DHULE.",,,MAHARASHTRA,27.0,27.0,4.5,4.5,8.2,8.2,564,564,5.9,,5.9,,0.20,1.38,79,,79,,280,280,,
2667,,HIWARA RIVER AT,,MAHARASHTRA,27.0,27.0,3.5,5.4,8.1,8.3,622,653,3.0,,8.1,,0.20,2.30,2,,110,,350,350,,
,,"D/S OF PACHORA,",,,,,,,,,,,,,,,,,,,,,,,,
,,VILLAGE-,,,,,,,,,,,,,,,,,,,,,,,,
,,"PACHORA,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"JALGAON,DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,JALGAON.,,,,,,,,,,,,,,,,,,,,,,,,
2674,,MOR RIVER NEAR,,MAHARASHTRA,27.0,29.0,4.1,6.4,7.4,8.1,634,2123,4.2,,6.1,,0.20,2.37,2,,110,,170,540,,
,,"PADALASHE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"PADALASHE,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"JALGAON, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,JALGAON.,,,,,,,,,,,,,,,,,,,,,,,,
2675,,MORNA RIVER D/S OF,,MAHARASHTRA,21.0,29.0,0.9,5.1,6.5,8.2,364,8719,5.3,,34.0,,0.20,9.15,46,,350,,120,1600,,
,,RAILWAY BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
,,AKOLA,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,,,
,,,,,,,,,,,,,,,,,,,,mL,,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
2684,"PANZARA RIVER,
NEAR PANZARAKAN
SSK LTD, VILLAGE-
PANZARA,TALUKA-
DHULE, DISTRICT-
DHULE.",,,MAHARASHTRA,24.0,39.0,5.3,7.0,7.5,8.5,443,684,3.0,,8.6,,0.20,6.48,2,,2,,170,280,,
2695,,PEDHI RIVER NEAR,,MAHARASHTRA,18.0,25.0,1.3,6.6,6.9,8.3,466,5565,5.2,,25.2,,0.53,15.10,34,,170,,220,540,,
,,ROAD BRIDGE AT,,,,,,,,,,,,,,,,,,,,,,,,
,,DADHI- PEDHI,,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"DADHI- PEDHI,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- BHATKULI,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- AMRAVATI.,,,,,,,,,,,,,,,,,,,,,,,,
2710,,TITUR RIVER AT D/S,,MAHARASHTRA,28.0,28.0,5.6,5.6,8.0,8.0,748,748,8.6,,8.6,,0.30,2.38,2,,2,,280,280,,
,,"OF CHALISGAON,",,,,,,,,,,,,,,,,,,,,,,,,
,,VILLAGE-,,,,,,,,,,,,,,,,,,,,,,,,
,,"CHALISGAON,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"JALGAON,DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,JALGAON.,,,,,,,,,,,,,,,,,,,,,,,,
2718,"WAGHUR RIVER AT-
SAKEGAON BEFORE
CONFLUENCE WITH
TAPI RIVER, VILLAGE-
SAKEGAON,TALUKA-
JALGAON,DISTRICT-
JALGAON.",,,MAHARASHTRA,27.0,28.0,5.9,6.3,8.0,8.2,362,628,4.0,,4.2,,0.30,2.71,2,,170,,220,900,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,Dissolved,,,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,Oxygen,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,(mg/ L),,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,
,,,,,Min,Max,Min,,Max,,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
1264,,MAHANADI AT,,CHHATTISGARH,24.0,33.0,6.2,,7.4,,7.7,7.9,218,512,,,,,,,,,,,210,240
,,RUDRI U/S AT,,,,,,,,,,,,,,,,,,,,,,,,
,,DHAMTORI,,,,,,,,,,,,,,,,,,,,,,,,
,,"RESERVOIR,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHAT,,,,,,,,,,,,,,,,,,,,,,,,
1852,"MAHANADI AT
ARRANG, RAIPUR,
CHHATISGARH.",,,CHHATTISGARH,25.0,30.0,5.6,,7.2,,7.6,7.7,262,484,,,,,,,,,,,240,240
,,MAHANADI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"ARRANG, RAIPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHATISGARH.,,,,,,,,,,,,,,,,,,,,,,,,
1100,,MAHANADI AT,,CHHATTISGARH,21.0,38.0,7.4,,8.9,,8.0,8.5,104,410,1.0,,3.0,,1.70,5.80,,,,,17,350
,,"KHARAD,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHATISGARH.,,,,,,,,,,,,,,,,,,,,,,,,
1282,"MAHANADI AT
SHEORINARAYAN
VILLAGE,
CHHATISGARH.",,,CHHATTISGARH,26.0,36.0,7.3,,9.9,,8.0,8.5,128,424,1.3,,2.9,,2.40,6.20,,,,,34,350
1467,"MAHANADI AFTER
CONFL. WITH
RIVER MAND,
CHHATISGARH",,,CHHATTISGARH,22.0,36.0,7.2,,8.2,,8.0,8.5,158,432,1.2,,3.0,,1.80,6.40,,,,,25,500
,,MAHANADI AFTER,,,,,,,,,,,,,,,,,,,,,,,,
,,CONFL. WITH,,,,,,,,,,,,,,,,,,,,,,,,
,,"RIVER MAND,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHATISGARH,,,,,,,,,,,,,,,,,,,,,,,,
1099,,MAHANADI AT,,CHHATTISGARH,24.0,33.0,5.6,,7.4,,7.4,7.9,238,456,,,,,,,,,,,210,240
,,"U/S OF RAJIM,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHATISGARH.,,,,,,,,,,,,,,,,,,,,,,,,
1101,"MAHANADI AT
INTERSTATE
BOUNDRY,
CHHATISGARH.",,,CHHATTISGARH,15.0,27.0,6.8,,7.2,,7.3,7.5,189,221,0.3,,2.9,,0.10,1.12,,,,,21,460
,,MAHANADI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,INTERSTATE,,,,,,,,,,,,,,,,,,,,,,,,
,,"BOUNDRY,",,,,,,,,,,,,,,,,,,,,,,,,
,,CHHATISGARH.,,,,,,,,,,,,,,,,,,,,,,,,
1281,,MAHANADI AT,,ODISHA,24.0,30.0,6.7,,8.2,,6.6,8.3,135,298,0.3,,1.7,,0.20,1.41,2,,9200,,20,16000
,,HIRAKUD,,,,,,,,,,,,,,,,,,,,,,,,
,,"RESERVOIR,",,,,,,,,,,,,,,,,,,,,,,,,
,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,
1270,,MAHANADI AT,,ODISHA,24.0,31.0,6.9,,8.4,,6.6,8.3,135,261,0.6,,1.7,,0.18,1.23,20,,1700,,45,4900
,,"SAMBALPUR U/S,",,,,,,,,,,,,,,,,,,,,,,,,
,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,,Dissolved,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,Oxygen,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
1271,"MAHANADI AT
SAMBALPUR D/S,
ODISHA",,,ODISHA,24.0,,,31.0,,,6.7,,,8.4,,,7.2,,,8.4,,,137,,,290
2405,"SAMBHALPUR FDS
AT HUMA",,,ODISHA,23.0,,,30.0,,,6.5,,,8.4,,,6.9,,,8.3,,,146,,,266
1272,"MAHANADI D/S
(AFTER CONFL.
WITH R. ONG
SONEPUR U/S",,,ODISHA,23.0,,,32.0,,,6.7,,,8.4,,,6.9,,,8.3,,,146,,,262
,,MAHANADI D/S,,,,,,,,,,,,,,,,,,,,,,,,
,,(AFTER CONFL.,,,,,,,,,,,,,,,,,,,,,,,,
,,WITH R. ONG,,,,,,,,,,,,,,,,,,,,,,,,
,,SONEPUR U/S,,,,,,,,,,,,,,,,,,,,,,,,
1274,,MAHANADI AFTER,,ODISHA,23.0,,,31.0,,,6.1,,,7.8,,,7.0,,,8.4,,,192,,,263
,,CONFL. WITH,,,,,,,,,,,,,,,,,,,,,,,,
,,R.TEL (SONEPUR,,,,,,,,,,,,,,,,,,,,,,,,
,,"D/S), OR",,,,,,,,,,,,,,,,,,,,,,,,
1275,,MAHANADI AT,,ODISHA,21.0,,,30.0,,,6.4,,,10.2,,,6.7,,,8.4,,,161,,,252
,,"TIKARPADA,",,,,,,,,,,,,,,,,,,,,,,,,
,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,
1276,"MAHANADI AT
NARSINGHPUR,
ODISHA",,,ODISHA,20.0,,,30.0,,,7.4,,,10.0,,,6.7,,,8.5,,,154,,,234
1277,"MAHANADI AT
CUTTACK U/S,
ODISHA",,,ODISHA,22.0,,,32.0,,,6.8,,,10.2,,,7.1,,,8.4,,,145,,,221
1278,"MAHANADI AT
CUTTACK D/S,
ODISHA",,,ODISHA,20.0,,,32.0,,,6.4,,,9.8,,,7.2,,,8.3,,,148,,,240
,,MAHANADI AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"CUTTACK D/S,",,,,,,,,,,,,,,,,,,,,,,,,
,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,
1639,,MAHANADI AT,,ODISHA,23.0,,,30.0,,,6.8,,,8.2,,,7.0,,,8.1,,,203,,,51284
,,"PARADEEPD/S,",,,,,,,,,,,,,,,,,,,,,,,,
,,ODISHA,,,,,,,,,,,,,,,,,,,,,,,,
2404,"POWER CHANNEL
D/S NEAR BURLA",,,ODISHA,24.0,,,30.0,,,5.2,,,8.6,,,6.9,,,8.2,,,153,,,227
,,POWER CHANNEL,,,,,,,,,,,,,,,,,,,,,,,,
,,D/S NEAR BURLA,,,,,,,,,,,,,,,,,,,,,,,,
2406,,MUNDALI(WATER,,ODISHA,23.0,,,32.0,,,7.2,,,9.8,,,7.2,,,8.4,,,153,,,228
,,INTAKE POINT OF,,,,,,,,,,,,,,,,,,,,,,,,
,,BHUBANESWAR,,,,,,,,,,,,,,,,,,,,,,,,
,,CITY,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,,Dissolved,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,Oxygen,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
2407,,PARADEEP U/S,,ODISHA,22.0,,,31.0,,,6.2,,,8.6,,,6.9,,,8.0,,,161,,,31070
,,(BEFORE,,,,,,,,,,,,,,,,,,,,,,,,
,,INDUSTRIAL,,,,,,,,,,,,,,,,,,,,,,,,
,,ACTIVITY AT,,,,,,,,,,,,,,,,,,,,,,,,
,,PARADE,,,,,,,,,,,,,,,,,,,,,,,,
3887,,SAMBALPUR FD/S,,ODISHA,22.0,,,31.0,,,6.0,,,8.2,,,6.7,,,8.4,,,161,,,273
,,T SHANKARMATH,,,,,,,,,,,,,,,,,,,,,,,,
3888,"POWER
CHANNELU/S",,,ODISHA,23.0,,,31.0,,,5.2,,,8.1,,,6.8,,,8.3,,,132,,,227
3890,"CUTTACK FD/S AT
GATIRAUTAPATNA",,,ODISHA,20.0,,,32.0,,,6.6,,,9.6,,,7.3,,,8.5,,,147,,,248
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,Dissolved,,,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",
,,,,,,,,Oxygen,,,,,,,,Oxygen Demand,,,,,,,,,,
,,,,,,,,(mg/ L),,,,,,,,(mg/ L),,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,< 2500 MPN/ 100,,,,
,,,,,,,,,,,,,,,,,,,,,,mL,,,,
,,,,,Min,Max,Min,,Max,,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max
