,table,,table,,page,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
2107,,"RIVER BETWA AT
U/S AT MAHUTA
GHAT, AGASOD","MADHYA
PRADESH",,22.0,
2108,,"RIVER BETWA AT
M/S J.P. THERMAL
POWER, BINA","MADHYA
PRADESH",,22.0,
2124,,"RIVER BETWA AT
CHARANTIRGHAT,
VIDISHA","MADHYA
PRADESH",,18.0,
2125,,"RIVER BETWA D/S
AFTER MIXING OF
BAIS AT VIDISHA","MADHYA
PRADESH",,19.0,
3832,,"RIVER BETWA AT
U/S NEAR ROAD
BRIDGE ORCHHA","MADHYA
PRADESH",,19.0,
30080,,"RIVER BETWA AT
KANJIA ROAD
BRIDGE, ASHOK
NAGAR (M.P.)","MADHYA
PRADESH",,23.0,
2953,,"RIVER KALI SINDH AT
ANICUT OF M/S CFCL
GADEPAN, KOTA,
RAJASTHAN","RAJASTHA
N",,20.0,
2956,,"RIVER KALI SINDH AT
BAROD ROAD
BRIDGE, KOTA,
RAJASTHAN","RAJASTHA
N",,20.1,
2950,,"RIVER DHANARI
DAM, NEAR
SWAROOPGANJ,
SIROHI, RAJASTHAN","RAJASTHA
N",,16.0,
2951,,"RIVER BANAS AT
BISULPUR DAM,
TONK, RAJASTHAN","RAJASTHA
N",,20.0,
2952,,"RIVER NEAR NEWTA
DAM, JAIPUR,
RAJASTHAN","RAJASTHA
N",,20.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
2945,,"RIVER CHHAPI DAM
UPSTREAM ,
JHALAWAR,
RAJASTHAN","RAJASTHA
N",,20.0,
2946,,"UJAD DAM AT BHIM
SAGAR UPSTREAM ,
JHALAWAR,
RAJASTHAN","RAJASTHA
N",,20.4,
2955,,"RIVER CHAMBAL
ENTERING IN
RAJASTHAN AT
GANDHI SAGAR
DAM, KOTA,
RAJASTHAN","RAJASTHA
N",,18.0,
3309,,"RIVER CHAMBAL AT
TAL VILLAGE NEAR
BRIDGE, UJJAIN","MADHYA
PRADESH",,23.0,
1365,,"RIVER CHAMBAL AT
NAGDA U/S (WATER
INTAKE POINT) M.P.","MADHYA
PRADESH",,24.0,
1366,,"RIVER CHAMBAL AT
NAGDA D/S, M.P.","MADHYA
PRADESH",,25.0,
2954,,"RIVER PARVATI
BEFORE MEETING
CHAMBAL AT
KHATOLI, KOTA,
RAJASTHAN","RAJASTHA
N",,20.1,
1432,,"RIVER PARVATI
NEAR VILLAGE
BATAODAPAR,","MADHYA
PRADESH",,20.0,
2109,,"RIVER PARVATI
RIVER, GUNA","MADHYA
PRADESH",,16.0,
2126,,"RIVER PARVATI A/C
OF VINDHYACHAL
NALLA, PILUKHEDI","MADHYA
PRADESH",,18.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1367,,"RIVER KHAN AT
KABIT KHEDI (NEAR
INDORE) M.P.","MADHYA
PRADESH",,20.0,
2110,,"RIVER KHAN AT
SAKKAR KHADI,
INDORE","MADHYA
PRADESH",,20.0,
2111,,"RIVER KHAN AT
SANWER","MADHYA
PRADESH",,21.0,
1369,,"RIVER KSHIPRA AT
RAMGHAT AT
UJJAIN, M.P.","MADHYA
PRADESH",,23.0,
1370,,"RIVER KSHIPRA AT
TRIVENISANGAM (1
KM. D/S OF
SANGAM), M.P.","MADHYA
PRADESH",,25.0,
1468,,"RIVER KSHIPRA AT
SIDDHAWAT (D/S)
OF UJJAIN., M.P.","MADHYA
PRADESH",,23.0,
3315,,"RIVER KSHIPRA AT
GAUGHAT, UJJAIN","MADHYA
PRADESH",,23.0,
3316,,"RIVER KSHIPRA AT
U/S OF MAHIDPUR
CITY, UJJAIN","MADHYA
PRADESH",,23.0,
3317,,"RIVER KSHIPRA AT
W/S INTAKE POINT
OF DEWAS, UJJAIN","MADHYA
PRADESH",,22.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
2724,,"RIVER SUSWA AT
MATHURAWALA,
DEHRADUN",UTTARAKHAND,,18.0,
2734,,"RIVER BHELLA U/S
KASHIPUR",UTTARAKHAND,,12.0,
2732,,"RIVER DHELLA U/S
AT KASHIPUR
MORADABAD ROAD
BRIDGE",UTTARAKHAND,,12.0,
2733,,"RIVER DHELLA D/S
AT THAKURDWARA
ALIGANJ ROAD",UTTARAKHAND,,13.0,
2731,,"RIVER KOSHI AT
KASHIPUR BAJPUR
ROAD BRIDGE",UTTARAKHAND,,14.0,
2728,,"RIVER GOLA AT
HALDWANI",UTTARAKHAND,,13.0,
2729,,"RIVER KICHHA AT
KICHHA U.S. NAGAR",UTTARAKHAND,,15.0,
2730,,"RIVER PILKHAR
AFTER BILASPUR
RAMPUR",UTTARAKHAND,,13.0,
2736,,"RIVER NANDOUR
U/S SITARGANJ
INDUSTRIAL AREA,
US NAGAR",UTTARAKHAND,,22.0,
2737,,"RIVER NANDOUR
D/S SITARGANJ
INDUSTRIAL AREA,
US NAGAR",UTTARAKHAND,,15.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
3439,,"RIVER KALYANI AT
D/S PANTNAGAR
INDUSTRIAL AREA,
US NAGAR",UTTARAKHAND,,14.0,
3438,,"RIVER KALYANI AT
U/S PANTNAGAR
INDL AREA, US
NAGAR",UTTARAKHAND,,14.0,
1064,,"RIVER RAMGANGA
AT KANNAUJ
(BEFORE CONF.)","UTTAR
PRADESH",,18.0,
30078,,"RIVER RAMGANGA
AT D/S KALAGARH
DAM (U.K.)",UTTARAKHAND,,24.2,
30077,,"RIVER RAMGANGA
AT D/S SHERKOT,
KALAGARH (U.P.)","UTTAR
PRADESH",,24.2,
2497,,"RIVER KALI EAST AT
KHARKHODA-
PARIKSHIT GARH
ROAD, VILL. KOL","UTTAR
PRADESH",,13.0,
1477,,"RIVER KALINADI AT
U/S OF MUZAFFAR
NAGAR U.P.","UTTAR
PRADESH",,19.0,
1478,,"RIVER KALINADI AT
D/S OF MUZAFFAR
NAGAR, U.P.","UTTAR
PRADESH",,20.0,
1480,,"RIVER KALINADI AT
U/S OF GULAOTHI
TOWN IN
BULANDSAHAR","UTTAR
PRADESH",,18.0,
1065,,"RIVER KALINADI AT
KANNAUJ (BEFORE
CONF.)","UTTAR
PRADESH",,18.0,
30037,,"RIVER BANGANGA
AT U/S IDRISHPUR
(U.K.)",UTTARAKHAND,,20.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
30038,,"RIVER BANGANGA
AT D/S SHUKRATAL
(BEFORE
CONFLUENCE OF
LAKSAR DRAIN )","UTTAR
PRADESH",,21.0,
2502,,"RIVER BANGANGA
SHUKRA TAL,
MUZAFFARNAGAR,
NEAR GANGA RIVER","UTTAR
PRADESH",,17.0,
2482,,"RIVER VARUNA AT
RAMESHWAR,
VARANASI","UTTAR
PRADESH",,18.5,
2483,,"RIVER VARUNA B/C
WITH GANGA AT
VARANASI","UTTAR
PRADESH",,18.5,
1361,,"RIVER SAI AT
UNNAO AFTER
DRAIN OUTFALL","UTTAR
PRADESH",,15.0,
2484,,"RIVER SAI AT
JALALPUR,
JAUNPUR","UTTAR
PRADESH",,18.5,
1350,,"RIVER GOMTI AT
SITAPUR U/S AT
WATER INTAKE","UTTAR
PRADESH",,17.5,
1351,,"RIVER GOMTI AT
LUCKNOW U/S AT
WATER INTAKE
POINT","UTTAR
PRADESH",,17.6,
1352,,"RIVER GOMTI AT
LUCKNOW D/S","UTTAR
PRADESH",,18.0,
10097,,"RIVER GOMTI AT
JAUNPUR U/S","UTTAR
PRADESH",,18.5,
1353,,"RIVER GOMTI AT
JAUNPUR D/S","UTTAR
PRADESH",,18.5,
1072,,"RIVER GOMTI AT
VARANASI, U.P","UTTAR
PRADESH",,18.5,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
10083,,"RIVER GOMTI AT
NEEMSAR U/S","UTTAR
PRADESH",,-,
10084,,"RIVER GOMTI AT
NEEMSAR D/S","UTTAR
PRADESH",,-,
10085,,"RIVER GOMTI AT
BHATPUR U/S","UTTAR
PRADESH",,-,
10086,,"RIVER GOMTI AT
BHATPUR D/S","UTTAR
PRADESH",,-,
10087,,"RIVER GOMTI AT
GAUGHAT U/S","UTTAR
PRADESH",,-,
10088,,"RIVER GOMTI AT
GAUGHAT D/S","UTTAR
PRADESH",,-,
10089,,"RIVER GOMTI AT
MOHMEAK U/S","UTTAR
PRADESH",,-,
10090,,"RIVER GOMTI AT
MOHMEAK D/S","UTTAR
PRADESH",,-,
10091,,"RIVER GOMTI AT
PIPRAGHAT U/S","UTTAR
PRADESH",,-,
10092,,"RIVER GOMTI AT
PIPRAGHAT D/S","UTTAR
PRADESH",,-,
10093,,"RIVER GOMTI AT
GANGAGANJ U/S","UTTAR
PRADESH",,-,
10094,,"RIVER GOMTI AT
GANGAGANJ D/S","UTTAR
PRADESH",,-,
2491,,"RIVER RAPTI AT
RAJGHAT,
GORAKHPUR","UTTAR
PRADESH",,18.0,
1363,,"RIVER RAPTI AFTER
CONFL. OF R. HONIN
NR. DOMINGARH
RLY BRIDGE,
GORAKHPUR","UTTAR
PRADESH",,11.0,
1355,,"RIVER GHAGHARA
AT DEORIA D/S, U.P.","UTTAR
PRADESH",,16.0,
2492,,"RIVER GHAGHRA AT
BARHALGANJ,
GORAKHPUR","UTTAR
PRADESH",,18.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA,,,,,
,"NOTIFIED UNDER E(P) RULES, 1986",,,,,
1076,,"RIVER GHAGHARA
NEAR CHAPRA,
RIBILGANJ, SARAN",BIHAR,,17.0,
1359,,"RIVER RIHAND AT
RENUKUT U/S, U.P.","UTTAR
PRADESH",,18.0,
1360,,"RIVER RIHAND AT
RENUKUT D/S, U.P.","UTTAR
PRADESH",,18.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1075,,"RIVER SONE AT
KOELWAR, BHOJPUR",BIHAR,,18.0,
3121,,"RIVER SONE NEAR
BANZARI, ROHTAS",BIHAR,,12.0,
3127,,"RIVER SONE AT
BAHIYARA, BHOJPUR",BIHAR,,18.0,
3128,,"RIVER SONE AT
NASIRIGANJ DAM,
ROHTAS",BIHAR,,15.0,
2556,,"RIVER SONE AT
INDRAPURI, DEHRI ON
SONE, ROHTAS",BIHAR,,12.0,
4406,,"RIVER SONE AT OBRA,
AURANGABAD",BIHAR,,15.0,
4407,,"RIVER SONE AT WATER
INTAKE POINT
BHARTIYA RAIL BIJALI
CO. LTD (BRBCL)
NAVINAGAR,
AURANGABAD",BIHAR,,14.0,
4298,,"RIVER SONE AT ROAD
BRIDGE-DEHRI-ON-
SONE, ROHTAS",BIHAR,,15.0,
3329,,"RIVER SONE AT
CHURHAT,DISTT.SIDHI",MADHYA PRADESH,,19.0,
1143,,"RIVER TONS AT
CHAKGHAT, M.P.",MADHYA PRADESH,,19.1,
3853,,"RIVER TONS AT
BASEMAN MAMA
TEMPLE, NEAR PURWA
FALL, TEHSIL-SEMARIYA,
DIST- REWA",MADHYA PRADESH,,20.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1078,,"RIVER GANDAK AT
SONEPUR, PATNA (B/C
GANGA), SARAN",BIHAR,,14.0,
2568,,"RIVER GANDAK AT
REWAGHAT,
MUJAFFARPUR",BIHAR,,15.0,
3125,,"RIVER GANDAK
GOPALGANJ
PIPRAKOTHI ROAD
BRIDGE (DUMARIA
GHAT)",BIHAR,,14.0,
10126,,"RIVER GANDAK AT
KONHARA GHAT,
VAISHALI",BIHAR,,16.0,
10163,,"RIVER GANDAK AT
ROAD BRIDGE, U/S
HAJIPUR",BIHAR,,16.0,
2575,,"RIVER SIKRAHNA AT LAL
PARSE, BITTIAH, EAST
CHAMPARAN",BIHAR,,18.0,
1820,,"RIVER SIKRAHNA AT
CHANPATIYA, EAST
CHAMPARAN",BIHAR,,15.0,
3134,,"RIVER SIKRAHNA AT
LAUREA, HARINAGAR
ROAD BRIDGE",BIHAR,,15.0,
4291,,"RIVER SIKRAHNA
LAURIA-NARKATIAGANJ
ROAD BRIDGE, WEST
CHAMPARAN",BIHAR,,14.0,
2570,,"RIVER BURHI GANDAK
AT Z ROAD BRIDGE,
SAMASTIPUR",BIHAR,,20.0,
3124,,"RIVER BURHI GANDAK
U/S ROAD BRIDGE
MUZAFFARPUR (NH)",BIHAR,,15.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2562,,"RIVER BURHI GANDAK
AT AKHARAGHAT,
MUZAFFARPUR",BIHAR,,13.0,
4403,,"RIVER BURHI GANDAK
AT BARACHAKIA, EAST
CHAMPARAN",BIHAR,,18.0,
4300,,"RIVER BURHI GANDAK
AT LAL BAGLA GHAT,
MOTIHARI DHAKA
ROAD, EAST
CHAMPARAN",BIHAR,,18.0,
4295,,"RIVER BURHI GANDAK
AT KHAGARIA ROAD
BRIDGE, KHAGARIA",BIHAR,,12.0,
3126,,"RIVER HARBORA, U/S
WEST CHAMPARAN",BIHAR,,12.0,
2558,,"RIVER HARBORA AT
NARKATIAGANJ, WEST
CHAMPARAN",BIHAR,,13.0,
2567,,"RIVER KAMALA AT
BENIPATTI
(MADHUBANI)",BIHAR,,18.0,
2569,,"RIVER KAMALA AT
DARBHANGA",BIHAR,,22.0,
3133,,"RIVER KAMALA AT
JAYNAGAR",BIHAR,,17.0,
4299,,"RIVER KAMALA (BIHAR)
GANGA AT JEEWACH
GHAT, DARBHANGA",BIHAR,,22.0,
2565,,"RIVER KOSHI AT
KURSHELA AT KATIHAR",BIHAR,,13.0,
2566,,"RIVER KOSHI AT
MADHEPURA",BIHAR,,16.0,
3137,,"RIVER KOSHI AT
BEERPUR, SUPAUL",BIHAR,,15.0,
1821,,RIVER DAHA AT SIWAN,BIHAR,,19.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4397,,"RIVER DAHA D/S
RAJENDRA ROAD BRIDE
SIWAN",BIHAR,,18.0,
2560,,"RIVER DAHA D/S AT
SASAMUSA, GOPALGANJ",BIHAR,,16.0,
2561,,"RIVER DAHA AT ITWA
BRIDGE, GOPALGANJ",BIHAR,,18.0,
3129,,"RIVER DAHA AT
MEERGANJ",BIHAR,,18.0,
4292,,"RIVER DAHA U/S
SASAMUSA, GOPALGANJ",BIHAR,,16.0,
1823,,"RIVER DHOS AT
MADHUVAPUR,
MADHUBANI",BIHAR,,20.0,
4405,,"RIVER DHOS AT
MADHWAPUR,
MADHUBANI",BIHAR,,20.0,
2559,,"RIVER RAMREKHA AT
HARINAGAR, WEST
CHAMPARAN",BIHAR,,16.0,
3130,,"RIVER RAMREKHA AT
U/S HARINAGAR, WEST
CHAMPARAN",BIHAR,,15.0,
1822,,"RIVER SIRSIYA AT
RAXAUL, EAST
CHAMPARAN",BIHAR,,15.0,
3136,,"RIVER SIRSIYA D/S
RAXAUL (KOERIA TOLA),
EAST CHAMPARAN",BIHAR,,16.0,
3132,,"RIVER BAGMATI AT
MUZAFFARPUR-
SITAMARHI ROAD
BRIDGE, SITAMARHI",BIHAR,,15.0,
3135,,"RIVER BAGMATI AT
DARBANGA,
SAMASTIPUR ROAD
BRIDGE, DARBHANGA",BIHAR,,20.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION",STATE NAME,,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3131,,"RIVER MANUSMAR U/S
(RIGA), SITAMARHI",BIHAR,,16.0,
2563,,"RIVER MANUSMAR AT
RIGA, SITAMARHI",BIHAR,,17.0,
4402,,"RIVER MANUSMAR AT
PARSHURAMPUR, RIGA -
BELSUND ROAD,
SITAMARHI",BIHAR,,14.0,
3119,,"RIVER POONPUN NEAR
POONPUN RAIL BRIDGE,
PATNA",BIHAR,,10.0,
3120,,"RIVER POONPUN NEAR
KINZER ROAD BRIDGE,
JEHANABAD",BIHAR,,14.0,
4293,,"RIVER KOHRA (GANGA)
U/S RAJ GHAT,
MANJHAULIA, WEST
CHAMPARAN",BIHAR,,17.0,
4294,,"RIVER KOHRA (GANGA)
D/S RAJ GHAT,
MANJHAULIA, WEST
CHAMPARAN",BIHAR,,17.0,
4399,,"RIVER HARHA AT
BAGHA, LAURIYA ROAD
BRIDGE",BIHAR,,16.0,
4400,,"RIVER LAKHANDEI
SITAMARHI U/S",BIHAR,,19.0,
4401,,"RIVER LAKHANDEI
SITAMARHI D/S",BIHAR,,16.0,
4404,,"RIVER GANGI AT ARA,
D/S",BIHAR,,19.0,
1824,,"RIVER PARMAR AT
JOGBANI, ARARIA",BIHAR,,16.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2117,,"RIVER BICHIA, BRIDGE
GOVINDGARH ROAD","MADHYA
PRADESH",,19.0,
1433,,"RIVER SANKH AT TIGRA
RESERVOIR, M.P.","MADHYA
PRADESH",,18.0,
1610,,"RIVER SONE AT ORIGIN
AMARKANTAK, M.P","MADHYA
PRADESH",,23.6,
1142,,"RIVER SONE AT CHACHAI, M.P.","MADHYA
PRADESH",,23.2,
1371,,"RIVER SONE AT AMLAI, M.P.","MADHYA
PRADESH",,23.2,
1612,,"RIVER SONE AT DEVLOAD OUT
LET OF BANSAGAR DAM","MADHYA
PRADESH",,22.8,
3327,,"RIVER SONE AT AMLAI, 100
METRE D/S AFTER MIXING OF
ATPS EFFLUENT, REWA","MADHYA
PRADESH",,23.0,
3846,,"RIVER SONE AT JARWAHI NEAR
ROAD BRIDGE, SHAHDOL","MADHYA
PRADESH",,23.4,
30082,,"RIVER SONE DEORA U/S RIHAND
(M. P.)","MADHYA
PRADESH",,24.2,
3851,,"RIVER SONE NEAR BHANVARSEN
ROAD BRIDGE AFTER
CONFLUENCE OF BANAS RIVER,
DIST SIDHI","MADHYA
PRADESH",,19.0,
4604,,"RIVER SONE AT VILLAGE-
KHAIRPUR, NEAR ROAD BRIDGE
M.P- U.P. BOUNDARY, DISTT
SIDHI","MADHYA
PRADESH",,19.0,
30081,,"RIVER SONE U/S TO RIHAND,
CHOPAN (U.P.)","UTTAR
PRADESH",,21.0,
3836,,"RIVER SONE ON KACHAN DAM
NEAR IMILYA NORTH COAL","MADHYA
PRADESH",,15.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"MINES VILL MAJHOULI, DIST
SINGROULI",,,,
1607,,"RIVER VAISHALI AT GOHAD DAM,
GOHAD, M.P","MADHYA
PRADESH",,18.0,
3313,,"RIVER KARIYARI U/S BEFORE
MIXING WITH WASTE WATER OF
M/S J.P. CEMENT , REWA","MADHYA
PRADESH",,4.0,
3314,,"RIVER KARIYARI 100 MTR. D/S
AFTER MIXING WITH WASTE
WATER OF M/S J.P. CEMENT,
REWA","MADHYA
PRADESH",,19.0,
3319,,"RIVER NEWAJ AT W/S INTAKE
POINT, SHUJALPUR, UJJAIN","MADHYA
PRADESH",,22.0,
3320,,"RIVER NEWAJ AT U/S NEAR W/S
INTAKE POINT, RAJGARH, GUNA","MADHYA
PRADESH",,17.0,
3310,,"RIVER CHAMLA AT W/S INTAKE
POINT BADNAGAR, UJJAIN","MADHYA
PRADESH",,25.0,
3306,,"RIVER CHOUPAN AT VIJAYPUR
U/S NFL NALLA, GUNA","MADHYA
PRADESH",,18.0,
3307,,"RIVER CHOUPAN AT VIJAYPUR
100 METRE D/S OF NFL NALLA,
GUNA","MADHYA
PRADESH",,20.0,
2100,,"RIVER GOUR BHOGA DOOR,
JABALPUR","MADHYA
PRADESH",,16.0,
3311,,"RIVER JAMUNI AT BARIYAGHAT
U/S NEAR INTAKE POINT,
TIKAMGARH","MADHYA
PRADESH",,19.0,
3834,,"RIVER SONE AT CHITAWAL NEAR
ROAD BRIDGE CHITRANGI, DIST
SINGROULI","MADHYA
PRADESH",,16.0,
2116,,"RIVER BEEHAR D/S NEAR FOREST
OFFICE","MADHYA
PRADESH",,19.0,
2119,,"RIVER BETWA AT NAYAPUR D/S
MANDIDEEP INDL. AREA NO.1,
DIST.RAISEN","MADHYA
PRADESH",,20.0,
2121,,"RIVER BETWA NEAR ROAD
BRIDGE, BHOJPUR","MADHYA
PRADESH",,20.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2122,,"RIVER BETWA NEAR W/S INTAKE
WELL POINT RAISEN","MADHYA
PRADESH",,19.0,
3833,,"RIVER BETWA AT RAJGHAT DAM,
SAGAR","MADHYA
PRADESH",,22.0,
2120,,"RIVER KALIASOT NEAR ROAD
BRIDGE, MANDIDEEP","MADHYA
PRADESH",,20.0,
1615,,"RIVER PARVATI NEAR INTAKE
POINT PILLUKHEDI DISTT.
RAJGARH, M.P","MADHYA
PRADESH",,18.0,
3835,,"RIVER GOPAD AT NIGARI, SARAI
DIST, SINGROULI","MADHYA
PRADESH",,14.0,
1611,,"RIVER JOHILA NEAR NAROJABAD
NEAR UMARIA ROAD BRIDGE,
M.P","MADHYA
PRADESH",,23.6,
1608,,"RIVER SINDH AT DABRA, M.P","MADHYA
PRADESH",,18.0,
1613,,"RIVER KOLAR DAM WATER
SUPPLY INTAKE WELL, DISTT.
SEHORE, M.P","MADHYA
PRADESH",,20.0,
"STATI
ON
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4085,,"RIVER JUMAR AT BIT MESRA,
RANCHI","JHARKHA
ND",,10.0,
2396,,RIVER JUMAR AT KANKE DAM,"JHARKHA
ND",,11.0,
2401,,"RIVER AJAY AT MASANJORE
DAM","JHARKHA
ND",,18.0,
3554,,"RIVER KONAR NEAR SWANG
COAL WASHERY, BOKARO","JHARKHA
ND",,22.0,
2390,,"RIVER KONAR AT TENUGHAT
DAM","JHARKHA
ND",,18.5,
4000,,"RIVER GARGA NEAR TELMUCHO
BRIDGE","JHARKHA
ND",,23.0,
2381,,"RIVER BOKARO AT ZARANGDIH
BRIDGE","JHARKHA
ND",,21.0,
1034,,"RIVER SANKH AT BOLBA,
JHARKAND","JHARKHA
ND",,12.0,
2392,,"RIVER BARAKAR AT MAITHAN
DAM","JHARKHA
ND",,22.0,
3555,,"RIVER DAMODAR NEAR
ZARANGDIH BRIDGE, BOKARO","JHARKHA
ND",,21.5,
4083,,"RIVER DAMODAR NEAR ROHINI
PROJECT, NK AREA, PO-DAKRA,
RANCHI","JHARKHA
ND",,12.0,
3553,,"RIVER DAMODAR NEAR
TELMUCHO BRIDGE","JHARKHA
ND",,24.0,
3556,,"RIVER DAMODAR AT
CONFLUENCE OF BOKARO &
DAMODAR NEAR ZARANGDIH
BRIDGE, BOKARO","JHARKHA
ND",,21.5,
3557,,"RIVER DAMODAR NEAR BERMO
RAILWAY STATION, BOKARO","JHARKHA
ND",,21.0,
"STATI
ON
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2382,,"RIVER DAMODAR AT PHUSRO
ROAD BRIDGE","JHARKHA
ND",,20.0,
2383,,"RIVER DAMODAR U/S
JAMADOBA WATER WORKS","JHARKHA
ND",,30.0,
2384,,"RIVER DAMODAR AT DOMGARH
WATER WORKS D/S SINDRI","JHARKHA
ND",,34.0,
2391,,"RIVER DAMODAR AT PANCHET
DAM","JHARKHA
ND",,26.0,
1331,,"RIVER DAMODAR AT
DISHERGARH VILL.(NR.BIHAR-
WEST BENGAL BORDER) ,
BURDWAN,WEST BENGAL","WEST
BENGAL",,20.0,
1332,,"RIVER DAMODAR AT D/S OF
IISCO AFTER 3RD OUTFALL AT
DHENNA VILLAGE,
BURDWAN,WEST BENGAL","WEST
BENGAL",,19.0,
1333,,"RIVER DAMODAR AT
NARAINPUR AFTER CONFL. OF
NUNIA NALLAH,
BURDWAN,WEST BENGAL","WEST
BENGAL",,20.0,
1334,,"RIVER DAMODAR NEAR MUJHER
MANA VILLAGE AFTER CONF. OF
TAMLA NALLAH,
BURDWAN,WEST BENGAL","WEST
BENGAL",,17.5,
